ID|NAME|LANGUAGE|CONTENT TYPES 
838|Catherine Miller VP|English,NULL
973|The WebTrace platform|English|web trace
1104|Tutorial on teleradiographic anatomy of the skull|English|online tutorial
1146|Virtual Patients in Dermatology|English,teaching files,narrative text|pedagogical guideline, best practice
1160|Actor Simulated Patient Interview|English|narrative text,best practice, pedagogical guideline
1220|Mr Angermeier Branched Virtual Patient|English|virtual patient
1227|Mr Angermeier Linear Virtual Patient|English|virtual patient
1234|Mr Maller Linear Virtual Patient|English|virtual patient
1255|Mr Maller Branched Virtual Patient|English|virtual patient
1328|ECG Patient case 1004 limb and chest leads|NULL,graph,image
1384|The Larynx|English|lecture notes
1403|Climate Health Impact game|English|serious game
1410|Disease quiz climate health impact|English|serious game,quiz
1419|Disease quiz climate health impact French|French|serious game,quiz
1464|Fetal medicine case|Spanish|anatomical atlas
1471|Dicom multiframe|Spanish|video
1489|Paliativna|Bulgarian|book
1527|electronic OSCE station for intravenous cannulation|English|objective structured clinical examination
1535|electronic OSCE for rectal examination|English|objective structured clinical examination
1563|optical microscopy slides|Other,video,graph,index
1570|electronic OSCE Station for Blood Pressure Measurement|English|objective structured clinical examination
1593|OSCE θωρακικο αλγος|Greek|objective structured clinical examination
1608|Enabling Content Sharing in Contemporary Medical Education: A Review of technical standards|English|lecture presentation
1615|Chest XRay of the Elderly|French|e-book with annotated and interactive figures
1638|Tumor cell|French|narrative text
1659|Breast cancers|French|narrative text
1666|Breast tumors|French|narrative text
1680|Myocardial infarction|French,video,simulator
1687|Myocardial infarction: simulation scenario|French,narrative text,teaching case,simulator
1694|Evidence Based Analysis 1|French,evidence based medicine form,scientific paper,questionnaire
1708|Statistical process control in healthcare|French,video,lecture presentation
1715|Examination cases|French|exam questions
1722|Lecture notes 1|French|lecture notes
1761|Liver anatomy: anterior view|English|image
1768|Liver anatomy: visceral surface|English|image
1775|The liver: introductory lesson|English,teaching file,lecture notes|multimedia medical lesson
1782|3D model of the stomach|English|3D model
1796|The stomach|English,lecture presentation,anatomical atlas|multimedia medical lesson
1803|Ventilatorna|Bulgarian|book
1810|Pediatrics tests|English|exam questions
1817|3D annotated stomach model|English|3D model with annotations
1824|ECG Patient case 1004 limb leads|NULL,image,graph
1831|Gastric Cancer|English|lecture notes,multimedia medical lesson
1838|ECG Patient case 1004 chest leads|NULL,graph,image
1845|ECG Patient case 1004 description|English,narrative text,teaching case
1852|ECG Patient case 1001 description|English,narrative text,teaching case
1859|ECG Patient case 1001 chest leads|NULL,graph,image
1866|ECG Patient case 1001 limb leads|NULL,image,graph
1873|ECG Patient case 1001 chest and limb leads|NULL,image,graph
1880|ECG Patient case 1002 chest and limb leads|NULL,image,graph
1887|ECG Patient case 1002 chest leads|NULL,image,graph
1894|ECG Patient case 1002 limb leads|NULL,graph,image
1901|ECG Patient case 1002 description|English,narrative text,teaching case
1908|Using Manikin Simulator in Cardiology|English,practical,narrative text
1929|provaa2|NULL,NULL
1944|NanoMission|English|serious game
1951|Biomolecular structure function analysis practicals|English|practical
1958|cell division video|NULL|video
1969|GS case subjectDB|English,NULL
1976|Stroke Alert Case 9|English|clinical case with description and images
1983|Stroke Alert Case 43|English|clinical case with description and images
1990|Stroke Alert Case 8|English|clinical case with description and images
1997|Stroke Alert Case 25|English|clinical case with description and images
2004|Stroke Alert Case 46|English|clinical case with description and images
2011|Stroke Alert Case 21|English|clinical case with description and images
2018|Stroke Alert Case 1|English,NULL
2025|Stroke Alert Case 2|English|clinical case with description and images
2032|Stroke Alert Case 3|English|clinical case with description and images
2045|Stroke Alert Case 4|English|clinical case with description and images
2052|Stroke Alert Case 5|English|clinical case with description and images
2059|Stroke Alert Case 6|English|clinical case with description and images
2066|Stroke Alert Case 7|English|clinical case with description and images
2073|Stroke Alert Case 10|English|clinical case with description and images
2101|PE massive therapy Gossage|English|algorithm
2108|knee dislocation KD Wascher|English|algorithm
2115|tetanus prophylaxis as part of wound management|English|algorithm
