GUID|IPR1|IPR2 
838|Attribution-Non-Commercial-Share-Alike|
973|The Platform is a LCMS free for use for mEducator users|
1104|Attribution-Non-Commercial-Share-Alike|
1146|Attribution-Non-Commercial-Share-Alike|
1160|Attribution-Non-Commercial-Share-Alike|
1220|http://purl.org/meducator/instances/|Attribution-Non-Commercial-Share-Alike
1227|Attribution-Non-Commercial-Share-Alike|
1234|Attribution-Non-Commercial-Share-Alike|
1255|Attribution-Non-Commercial-Share-Alike|
1328|http://purl.org/meducator/instances/|
1384|Attribution-Non-Commercial-Share-Alike|
1403|Attribution-Non-Commercial-No-Derivatives|
1410|Attribution-Non-Commercial-Share-Alike|
1419|Attribution-Non-Commercial-Share-Alike|
1464|Attribution|
1471|Attribution|
1489||
1527|Attribution-Non-Commercial-Share-Alike|
1535|Attribution-Non-Commercial-Share-Alike|
1570|Attribution-Non-Commercial-Share-Alike|
1593|Attribution-Non-Commercial-Share-Alike|
1608|Attribution-Share-Alike|
1615|Attribution-Non-Commercial-Share-Alike|
1638|Attribution-Non-Commercial-Share-Alike|
1659|Attribution-Non-Commercial-Share-Alike|
1666|Attribution-Non-Commercial-Share-Alike|
1680|Attribution-Non-Commercial-Share-Alike|
1687|Attribution-Non-Commercial-No-Derivatives|
1694|Attribution-Non-Commercial-Share-Alike|One resource is under editor copyright
1708|Attribution-Non-Commercial-Share-Alike|
1715|Attribution-Non-Commercial-Share-Alike|
1722|Attribution-Non-Commercial-Share-Alike|
1761|Attribution-Non-Commercial-Share-Alike|
1768|Attribution-Non-Commercial-Share-Alike|
1775|Attribution-Non-Commercial-Share-Alike|
1782|Attribution-Non-Commercial-Share-Alike|
1796|Attribution-Non-Commercial-Share-Alike|
1803||
1810||
1817|http://purl.org/meducator/instances/|http://purl.org/meducator/instances/, http://purl.org/meducator/instances/Attribution Non-commercial Share Alike (by-nc-sa)
1824|Attribution-Non-Commercial-Share-Alike|
1831|Attribution-Non-Commercial-Share-Alike|
1838|Attribution-Non-Commercial-Share-Alike|
1845|Attribution-Non-Commercial-Share-Alike|
1852|Attribution-Non-Commercial-Share-Alike|
