GUID|COUNT|VALUE1|ONTOLOGY1|VALUE2|ONTOLOGY2|VALUE3|ONTOLOGY3|VALUE4|ONTOLOGY4|VALUE5|ONTOLOGY5|VALUE6|ONTOLOGY6|VALUE7|ONTOLOGY7|VALUE8|ONTOLOGY8|VALUE9|ONTOLOGY9|VALUE10|ONTOLOGY10 
838|1|medicine|||||||||||||||||||
973|1|Any disciplines that requires image or diagram reading and interpretation|||||||||||||||||||
1104|1|medicine|||||||||||||||||||
1146|1|medicine|||||||||||||||||||
1160|1|consult the file|||||||||||||||||||
1220|1|Medicine|Medical Subject Headings||||||||||||||||||
1227|1|Medicine|||||||||||||||||||
1234|1|Medicine|||||||||||||||||||
1255|1|Medicine|||||||||||||||||||
1328|1|cardiology|||||||||||||||||||
1384|1|Human anatomy|||||||||||||||||||
1403|1|Biology|||||||||||||||||||
1410|1|Biology|||||||||||||||||||
1419|1|Biology|||||||||||||||||||
1464|||||||||||||||||||||
1471|||||||||||||||||||||
1489|||||||||||||||||||||
1527|1|clinical skills|||||||||||||||||||
1535|1|medicine|||||||||||||||||||
1570|1|medicine|||||||||||||||||||
1593|1|ιατρική|||||||||||||||||||
1608|||||||||||||||||||||
1615|||||||||||||||||||||
1638|||||||||||||||||||||
1659|||||||||||||||||||||
1666|||||||||||||||||||||
1680|||||||||||||||||||||
1687|||||||||||||||||||||
1694|||||||||||||||||||||
1708|||||||||||||||||||||
1715|||||||||||||||||||||
1722|1|Public Health|||||||||||||||||||
1761|1|medical|||||||||||||||||||
1768|||||||||||||||||||||
1775|1|Human anatomy|||||||||||||||||||
1782|||||||||||||||||||||
1796|1|Human anatomy|||||||||||||||||||
1803|||||||||||||||||||||
1810|||||||||||||||||||||
1817|||||||||||||||||||||
1824|1|cardiology|||||||||||||||||||
1831|||||||||||||||||||||
1838|1|cardiology|||||||||||||||||||
1845|1|cardiology|||||||||||||||||||
1852|1|cardiology|||||||||||||||||||
1859|1|cardiology|||||||||||||||||||
1866|1|cardiology|||||||||||||||||||
1873|1|cardiology|||||||||||||||||||
1880|1|cardiology|||||||||||||||||||
1887|1|cardiology|||||||||||||||||||
1894|1|cardiology|||||||||||||||||||
1901|||||||||||||||||||||
1908|1|cardiology|||||||||||||||||||
1944|1|Nanotechnology|||||||||||||||||||
1951|1|Biosciences, Biomedicine, Chemistry, Natural Sciences|||||||||||||||||||
1958|||||||||||||||||||||
1969|||||||||||||||||||||
1976|1|medicine|||||||||||||||||||
1983|1|medicine|||||||||||||||||||
1990|1|medicine|||||||||||||||||||
1997|1|medicine|||||||||||||||||||
2004|1|medicine|||||||||||||||||||
2011|1|medicine|||||||||||||||||||
2018|||||||||||||||||||||
2025|1|medicine|||||||||||||||||||
2032|1|medicine|||||||||||||||||||
2045|1|medicine|||||||||||||||||||
2052|1|medicine|||||||||||||||||||
2059|1|medicine|||||||||||||||||||
2066|1|medicine|||||||||||||||||||
2073|1|medicine|||||||||||||||||||
2101|1|medicine|||||||||||||||||||
2108|||||||||||||||||||||
2115|1|medicine|||||||||||||||||||
2122|||||||||||||||||||||
2130|1|Ιατρική Πληροφορική|||||||||||||||||||
2144|1|Medical Informatics, Aerospace medicine|||||||||||||||||||
2151|1|Aerospace medicine|||||||||||||||||||
2165|1|medicine|||||||||||||||||||
2172|||||||||||||||||||||
2179|1|Healthcare Professionals, medical doctors|||||||||||||||||||
2186|1|medicine|||||||||||||||||||
2200|1|medicine|||||||||||||||||||
2208|1|Healthcare Professionals, medical doctors, Computer Scientists|||||||||||||||||||
2217|1|Medical Informatics|||||||||||||||||||
2224|1|Healthcare Professionals, medical doctors, Computer Scientists|||||||||||||||||||
2231|1|medical informatics|||||||||||||||||||
2238|||||||||||||||||||||
2245|1|Medical Informatics|||||||||||||||||||
2252|1|Medicine|||||||||||||||||||
2259|1|Medicine|||||||||||||||||||
2266|1|Medicine|||||||||||||||||||
2273|1|Medicine|||||||||||||||||||
2280|1|Medicine|||||||||||||||||||
2287|1|Medicine|||||||||||||||||||
2294|1|Medicine|||||||||||||||||||
2302|1|medical informatics|||||||||||||||||||
2309|1|Medicine|||||||||||||||||||
2316|1|Medicine|||||||||||||||||||
2323|1|Medicine|||||||||||||||||||
2330|1|Medicine|||||||||||||||||||
2337|1|Medicine|||||||||||||||||||
2344|1|Medicine|||||||||||||||||||
2351|1|Medicine|||||||||||||||||||
2358|1|Medicine, nursing|||||||||||||||||||
2365|1|Medicine, nursing|||||||||||||||||||
2372|1|Medicine, nursing|||||||||||||||||||
2379|1|Medicine, nursing|||||||||||||||||||
2386|1|Medicine, nursing|||||||||||||||||||
2393|1|Medicine, nursing|||||||||||||||||||
2401|1|medical informatics|||||||||||||||||||
2415|1|Medicina|||||||||||||||||||
2422|1|medicine|||||||||||||||||||
2429|1|Medicine|||||||||||||||||||
2436|1|Medicine|||||||||||||||||||
2448|1|medicine, physics|||||||||||||||||||
2464|||||||||||||||||||||
2471|1|medicine|||||||||||||||||||
2478|1|Neurology|||||||||||||||||||
2485|||||||||||||||||||||
2492|||||||||||||||||||||
2499|1|medicine|||||||||||||||||||
2506|1|Neurology|||||||||||||||||||
2513|1|Neurophysiology Technicians|||||||||||||||||||
2520|1|Neurology|||||||||||||||||||
2527|1|Neurology|||||||||||||||||||
2534|1|Medicine|||||||||||||||||||
2541|1|Aerospace Medicine|||||||||||||||||||
2548|1|Medical Informatics|||||||||||||||||||
2555|1|Aerospace Medicine|||||||||||||||||||
2562|1|medicine|||||||||||||||||||
2569|1|Medicine|||||||||||||||||||
2576|1|Dentisry|||||||||||||||||||
2583|1|medical informatics, medicine|||||||||||||||||||
2590|||||||||||||||||||||
2597|1|medicine, informatics|||||||||||||||||||
2604|1|medicine, informatics|||||||||||||||||||
2611|1|biology, medicine|||||||||||||||||||
2618|1|Medicine|||||||||||||||||||
2625|1|Medicine|||||||||||||||||||
2632|1|Medical Informatics|||||||||||||||||||
2639|1|Medicine|||||||||||||||||||
2647|1|Aerospace Medicine|||||||||||||||||||
2656|1|Aerospace Medicine|||||||||||||||||||
2665|1|Aerospace Medicine|||||||||||||||||||
