GUID|COUNT|VALUE1|VALUE2|VALUE3|VALUE4|VALUE5|VALUE6|VALUE7|VALUE8|VALUE9|VALUE10 
838|1|3rd year uk undergraduate medical student embarking on clinical training.|||||||||
973|||||||||||
1104|||||||||||
1146|||||||||||
1160|1|consult the file|||||||||
1220|||||||||||
1227|1|Preclinical Medical Student|||||||||
1234|1|Preclinical Medical Student|||||||||
1255|1|Preclinical Medical Student|||||||||
1328|||||||||||
1384|1|undergraduate|||||||||
1403|1|AS/A Levels|||||||||
1410|1|AS/A Levels|||||||||
1419|1|AS/A Levels|||||||||
1464|||||||||||
1471|||||||||||
1489|||||||||||
1527|1|3nd year undergraduate medical students|||||||||
1535|1|3nd year medical students|||||||||
1570|1|undergraduate medical students|||||||||
1593|||||||||||
1608|||||||||||
1615|||||||||||
1638|||||||||||
1659|||||||||||
1666|||||||||||
1680|||||||||||
1687|||||||||||
1694|||||||||||
1708|||||||||||
1715|||||||||||
1722|||||||||||
1761|1|undergraduate|||||||||
1768|||||||||||
1775|1|undergraduate|||||||||
1782|||||||||||
1796|||||||||||
1803|||||||||||
1810|||||||||||
1817|||||||||||
1824|||||||||||
1831|||||||||||
1838|||||||||||
1845|||||||||||
1852|||||||||||
1859|||||||||||
1866|||||||||||
1873|||||||||||
1880|||||||||||
1887|||||||||||
1894|||||||||||
1901|||||||||||
1908|||||||||||
1944|||||||||||
1951|1|Undergraduate, Postgratuate|||||||||
1958|||||||||||
1969|||||||||||
1976|||||||||||
1983|||||||||||
1990|||||||||||
1997|||||||||||
2004|||||||||||
2011|||||||||||
2018|||||||||||
2025|||||||||||
2032|||||||||||
2045|||||||||||
2052|||||||||||
2059|||||||||||
2066|||||||||||
2073|||||||||||
2101|1|post graduate|||||||||
2108|1|post graduate|||||||||
2115|||||||||||
2122|||||||||||
2130|||||||||||
2144|1|CME|||||||||
2151|1|Medical students|||||||||
2165|||||||||||
2172|||||||||||
2179|1|healthcare worker ( doctor, nurse etc) interested in telemedicine|||||||||
2186|||||||||||
2200|||||||||||
2208|1|any|||||||||
2217|1|Postgraduate Medical Students|||||||||
2224|1|healthcare professional or computer scientist interested in CAD|||||||||
2231|1|undergraduate, postgraduate, medical informatics specialists|||||||||
2238|||||||||||
2245|1|Postgraduate Medical Informatics Students|||||||||
2252|1|Preclinical Medical Student|||||||||
2259|1|Preclinical Medical Student|||||||||
2266|1|Preclinical Medical Student|||||||||
2273|1|Preclinical Medical Student|||||||||
2280|1|Preclinical Medical Student|||||||||
2287|1|Preclinical Medical Student|||||||||
2294|1|Pre-clinical Medical Student|||||||||
2302|1|undergraduate, postgraduate, medical informatics specialists|||||||||
2309|1|undergraduates|||||||||
2316|1|Pre-clinical Medical Student|||||||||
2323|1|Pre-clinical Medical Student|||||||||
2330|1|Pre-clinical Medical Student|||||||||
2337|1|Pre-clinical Medical Student|||||||||
2344|1|Pre-clinical Medical Student|||||||||
2351|1|Pre-clinical Medical Student|||||||||
2358|1|all levels|||||||||
2365|1|All levels|||||||||
2372|1|All levels|||||||||
2379|1|All levels|||||||||
2386|1|All levels|||||||||
2393|1|All levels|||||||||
2401|1|undergraduate, postgraduate, medical informatics specialists|||||||||
2415|1|studenti di medicina, specializzandi in malattie respiratorie|||||||||
2422|1|undergraduate, general public|||||||||
2429|1|Undergraduate|||||||||
2436|1|Undergraduate|||||||||
2448|1|postgraduate, continuing education|||||||||
2464|||||||||||
2471|1|specialists|||||||||
2478|1|For any neurologist in public and private  hospitals|||||||||
2485|||||||||||
2492|||||||||||
2499|1|specialists in orthodontics|||||||||
2506|||||||||||
2513|1|Undergraduate students|||||||||
2520|1|Specialists in Neurology|||||||||
2527|1|Resident Students|||||||||
2534|1|CME|||||||||
2541|1|CME|||||||||
2548|1|postgraduate medical informatics student|||||||||
2555|1|CME|||||||||
2562|1|4th year medical students|||||||||
2569|1|Specialists in Dentistry|||||||||
2576|||||||||||
2583|1|postgraduate|||||||||
2590|||||||||||
2597|1|postgraduate, continuing education|||||||||
2604|1|postgraduate, continuing education|||||||||
2611|1|undegraduate|||||||||
2618|1|CME|||||||||
2625|1|CME|||||||||
2632|1|Continues Proffesional Development, postgraduate students|||||||||
2639|1|CME, postgraduate medical students|||||||||
