GUID|COUNT|Description1|Description2|Description3|Description4|Description5|Description6|Description7|Description8|Description9|Description10 
838|2|URI|URI||||||||
973|1|URI|||||||||
1104|1|URI|||||||||
1146|1|URI|||||||||
1160|2|URI|URI||||||||
1220|2|URL|URN||||||||
1227|2|URI|URI||||||||
1234|2|URI|URI||||||||
1255|2|URI|URI||||||||
1328|2|URI|URI||||||||
1384|1|URI|||||||||
1403|1|URI|||||||||
1410|1|URI|||||||||
1419|1|URI|||||||||
1464|2|URI|URI||||||||
1471|2|URI|URI||||||||
1489|1|URI|||||||||
1527|1|URI|||||||||
1535|1|URI|||||||||
1570|1|URI|||||||||
1593|1|URI|||||||||
1608|1|URI|||||||||
1615|1|URI|||||||||
1638|1|URI|||||||||
1659|1|URI|||||||||
1666|1|URI|||||||||
1680|1|URI|||||||||
1687|1|URI|||||||||
1694|1|URI|||||||||
1708|1|URI|||||||||
1715|1|URI|||||||||
1722|1|URI|||||||||
1761|1|URI|||||||||
1768|1|URI|||||||||
1775|1|URI|||||||||
1782|1|URI|||||||||
1796|1|URI|||||||||
1803|1|URI|||||||||
1810|1|URI|||||||||
1817|1|URI|||||||||
1824|1|URI|||||||||
1831|1|URI|||||||||
1838|1|URI|||||||||
1845|1|URI|||||||||
1852|1|URI|||||||||
1859|1|URI|||||||||
1866|1|URI|||||||||
1873|2|URI|URI||||||||
1880|2|URI|URI||||||||
1887|1|URI|||||||||
1894|1|URI|||||||||
1901|1|URI|||||||||
1908|1|URI|||||||||
1944|1|URI|||||||||
1951|1|URI|||||||||
1958|1|URI|||||||||
1969|1|URI|||||||||
1976|1|URI|||||||||
1983|1|URI|||||||||
1990|1|URI|||||||||
1997|1|URI|||||||||
2004|1|URI|||||||||
2011|1|URI|||||||||
2018|1|URI|||||||||
2025|1|URI|||||||||
2032|1|URI|||||||||
2045|1|URI|||||||||
2052|1|URI|||||||||
2059|1|URI|||||||||
2066|1|URI|||||||||
2073|1|URI|||||||||
2101|1|URI|||||||||
2108|1|URI|||||||||
2115|1|URI|||||||||
2122|1|URI|||||||||
2130|1|URI|||||||||
2144|1|URI|||||||||
2151|1|URI|||||||||
2165|1|URI|||||||||
2172|1|URI|||||||||
2179|1|URI|||||||||
2186|1|URI|||||||||
2200|1|URI|||||||||
2208|1|URI|||||||||
2217|1|URI|||||||||
2224|1|URI|||||||||
2231|1|URI|||||||||
2238|1|URI|||||||||
2245|1|URI|||||||||
2252|2|URI|URI||||||||
2259|2|URI|URI||||||||
2266|2|URI|URI||||||||
2273|2|URI|URI||||||||
2280|2|URI|URI||||||||
2287|2|URI|URI||||||||
2294|2|URI|URI||||||||
2302|1|URI|||||||||
2309|1|URI|||||||||
2316|2|URI|URI||||||||
2323|2|URI|URI||||||||
2330|2|URI|URI||||||||
2337|2|URI|URI||||||||
2344|2|URI|URI||||||||
2351|1|URI|||||||||
2358|1|URI|||||||||
2365|1|URI|||||||||
2372|1|URI|||||||||
2379|1|URI|||||||||
2386|1|URI|||||||||
2393|1|URI|||||||||
2401|1|URI|||||||||
2415|1|URI|||||||||
2422|1|URI|||||||||
2429|1|URI|||||||||
2436|1|URI|||||||||
2448|1|URI|||||||||
2464|1|URI|||||||||
2471|1|URI|||||||||
2478|1|URI|||||||||
2485|1|URI|||||||||
2492|1|URI|||||||||
2499|1|URI|||||||||
2506|1|URI|||||||||
2513|1|URI|||||||||
2520|1|URI|||||||||
2527|1|URI|||||||||
2534|1|URI|||||||||
2541|1|URI|||||||||
2548|1|URI|||||||||
2555|1|URI|||||||||
2562|1|URI|||||||||
2569|1|URI|||||||||
2576|1|URI|||||||||
2583|1|URI|||||||||
2590|1|URI|||||||||
2597|1|URI|||||||||
2604|1|URI|||||||||
2611|1|URI|||||||||
2618|1|URI|||||||||
2625|1|URI|||||||||
2632|1|URI|||||||||
2639|1|URI|||||||||
2647|1|URI|||||||||
2656|1|URI|||||||||
2665|1|URI|||||||||
2672|1|URI|||||||||
