GUID|COUNT|VALUE1|ONTOLOGY1|VALUE2|ONTOLOGY2|VALUE3|ONTOLOGY3|VALUE4|ONTOLOGY4|VALUE5|ONTOLOGY5|VALUE6|ONTOLOGY6|VALUE7|ONTOLOGY7|VALUE8|ONTOLOGY8|VALUE9|ONTOLOGY9|VALUE10|ONTOLOGY10 
838|4|sepsis||bacterial meningitis||meningitis||paediatrics|||||||||||||
973|5|graphical annotation||pen-based e-learning||image collections||visual discrimination||digital tracing|||||||||||
1104|3|teleradiographic anatomy||skull||cephalometry|||||||||||||||
1146|5|skin deceases||dermatology||self-directed learning||complementing material||virtual patient|||||||||||
1160|6|doctor-patient interaction||simulation||patient interview structure||actor simulation||patient interview||patient interview questions|||||||||
1220|10|shock.|SNOMED Clinical Terms|Acute myocardial infarction|SNOMED Clinical Terms|Thrombolysis|Galen|Thrombolysis|SNOMED Clinical Terms|Angina pectoris|Medical Subject Headings|Angina Pectoris|Medical Subject Headings|Angina Pectoris, Variant|SNOMED Clinical Terms|Chest pain|Medical Subject Headings|Shock|Galen|Shock|Medical Subject Headings
1227|5|Chest pain||acute myocardial infarction||thrombolysis||shock.||angina pectoris|||||||||||
1234|9|A&amp;E||tachycardia||ECG||myocarditis||cardiomyopathy||cardiology||myocardial infarction||Cardiovascular risk factors||Echocardiogram|||
1255|9|myocarditis||Echocardiogram||cardiology||A&amp;E||cardiomyopathy||ECG||tachycardia||Cardiovascular risk factors||myocardial infarction|||
1328|1|ECG image limb leads|||||||||||||||||||
1384|4|larynx||knowledge assessment||annotation||human anatomy|||||||||||||
1403|4|serious game||climate change||diseases||A-levels|||||||||||||
1410|8|quiz||diseases||cholera||malaria||plague||tuberculosis||meningitis||dengue fever|||||
1419|8|cholera||dengue fever||tuberculosis||meningitis||plague||diseases||quiz||malaria|||||
1464|4|medicine||clinic case||fetal||image|||||||||||||
1471|3|video||dicom||multiframe|||||||||||||||
1489|1|http://meducator.open.ac.uk/metamorphosis#subject1065848066|||||||||||||||||||
1527|3|OSCE||clinical skills||intarvenous cannulation|||||||||||||||
1535|3|OSCE||rectal examination||clinical skills|||||||||||||||
1570|3|clinical skills||blood pressure||OSCE|||||||||||||||
1593|4|OSCE||θωρακικό άλγος||ΟΕΜ||καρδιολογία|||||||||||||
1608|1|http://meducator.open.ac.uk/metamorphosis#subject858681580|||||||||||||||||||
1615|2|Thoracic||Aged ; Dyspnea ; Dyspnea/etiology ; Dyspnea/radiography ; Respiration ; Radiography|||||||||||||||||
1638|1|Cells ; Cells/abnormalities ; Cells/anatomy and histology ; Cells/cytology ; Cells/pathology ; Malignant neoplasm|||||||||||||||||||
1659|1|Breast Neoplasms|||||||||||||||||||
1666|1|Breast Neoplasms ; Breast Neoplasms/pathology|||||||||||||||||||
