GUID|COUNT|VALUE1|VALUE2|VALUE3|VALUE4|VALUE5|VALUE6|VALUE7|VALUE8|VALUE9|VALUE10 
838|||||||||||
973|1|Image|||||||||
1104|||||||||||
1146|||||||||||
1160|||||||||||
1220|1|Virtual Patient|||||||||
1227|||||||||||
1234|||||||||||
1255|||||||||||
1328|||||||||||
1384|||||||||||
1403|||||||||||
1410|||||||||||
1419|||||||||||
1464|||||||||||
1471|1|Video|||||||||
1489|||||||||||
1527|||||||||||
1535|||||||||||
1570|||||||||||
1593|||||||||||
1608|1|Multimedia slide/presentation|||||||||
1615|||||||||||
1638|1|Text|||||||||
1659|1|Text|||||||||
1666|1|Text|||||||||
1680|1|Video|||||||||
1687|1|Text|||||||||
1694|||||||||||
1708|2|Multimedia slide/presentation|Video||||||||
1715|||||||||||
1722|||||||||||
1761|1|Image|||||||||
1768|1|Image|||||||||
1775|||||||||||
1782|||||||||||
1796|1|Multimedia slide/presentation|||||||||
1803|||||||||||
1810|||||||||||
1817|||||||||||
1824|2|Sketch/graphical annotation|Image||||||||
1831|||||||||||
1838|2|Sketch/graphical annotation|Image||||||||
1845|1|Text|||||||||
1852|1|Text|||||||||
1859|2|Sketch/graphical annotation|Image||||||||
1866|2|Sketch/graphical annotation|Image||||||||
1873|||||||||||
1880|||||||||||
1887|2|Sketch/graphical annotation|Image||||||||
1894|2|Sketch/graphical annotation|Image||||||||
1901|1|Text|||||||||
1908|1|Text|||||||||
1944|||||||||||
1951|||||||||||
1958|1|Video|||||||||
1969|||||||||||
1976|||||||||||
1983|||||||||||
1990|||||||||||
1997|||||||||||
2004|||||||||||
2011|||||||||||
2018|||||||||||
2025|||||||||||
2032|||||||||||
2045|||||||||||
2052|||||||||||
2059|||||||||||
2066|||||||||||
2073|||||||||||
2101|||||||||||
2108|||||||||||
2115|||||||||||
2122|||||||||||
2130|3|Image|Multimedia slide/presentation|Video|||||||
2144|||||||||||
2151|||||||||||
2165|||||||||||
2172|||||||||||
2179|4|Sketch/graphical annotation|Image|Multimedia slide/presentation|Video||||||
2186|||||||||||
2200|||||||||||
2208|5|Sketch/graphical annotation|Image|Multimedia slide/presentation|Blog|Discussion Forum|||||
2217|3|Image|Multimedia slide/presentation|Discussion Forum|||||||
2224|4|Sketch/graphical annotation|Image|Multimedia slide/presentation|Discussion Forum||||||
2231|||||||||||
2238|||||||||||
2245|1|Multimedia slide/presentation|||||||||
2252|||||||||||
2259|||||||||||
2266|||||||||||
2273|||||||||||
2280|||||||||||
2287|||||||||||
2294|||||||||||
2302|||||||||||
2309|3|Multimedia slide/presentation|Text|Video|||||||
2316|||||||||||
2323|||||||||||
2330|||||||||||
2337|2|Image|Multimedia slide/presentation||||||||
2344|2|Image|Multimedia slide/presentation||||||||
2351|1|Image|||||||||
2358|1|Video|||||||||
2365|1|Video|||||||||
2372|1|Video|||||||||
2379|1|Video|||||||||
2386|1|Video|||||||||
2393|1|Video|||||||||
2401|||||||||||
2415|1|Multimedia slide/presentation|||||||||
2422|||||||||||
2429|1|Multimedia slide/presentation|||||||||
2436|||||||||||
2448|1|Multimedia slide/presentation|||||||||
2464|||||||||||
2471|1|Image|||||||||
2478|1|Multimedia slide/presentation|||||||||
2485|||||||||||
2492|||||||||||
2499|||||||||||
2506|1|Multimedia slide/presentation|||||||||
2513|1|Multimedia slide/presentation|||||||||
2520|||||||||||
2527|||||||||||
2534|2|Image|Multimedia slide/presentation||||||||
2541|||||||||||
2548|||||||||||
2555|||||||||||
2562|||||||||||
2569|||||||||||
2576|||||||||||
2583|1|Multimedia slide/presentation|||||||||
2590|||||||||||
2597|||||||||||
2604|1|Multimedia slide/presentation|||||||||
2611|1|Multimedia slide/presentation|||||||||
2618|1|Video|||||||||
2625|1|Video|||||||||
2632|1|Multimedia slide/presentation|||||||||
2639|1|Multimedia slide/presentation|||||||||
2647|||||||||||
2656|||||||||||
2665|||||||||||
2672|||||||||||
2681|||||||||||
2688|||||||||||
2717|||||||||||
2724|||||||||||
2731|||||||||||
2738|||||||||||
2745|1|Multimedia slide/presentation|||||||||
2752|1|Wiki|||||||||
2759|1|Blog|||||||||
2766|||||||||||
2773|2|Sketch/graphical annotation|Image||||||||
2780|2|Sketch/graphical annotation|Image||||||||
2787|1|Text|||||||||
2794|||||||||||
2801|||||||||||
2815|||||||||||
2822|||||||||||
2829|||||||||||
2836|||||||||||
2979|||||||||||
3032|||||||||||
3146|1|Text|||||||||
3153|1|Text|||||||||
3160|1|Text|||||||||
3167|1|Text|||||||||
3176|1|Text|||||||||
3183|1|Text|||||||||
3190|1|Text|||||||||
3204|1|Image|||||||||
3215|1|Image|||||||||
3227|1|Image|||||||||
3234|1|Image|||||||||
3241|1|Image|||||||||
3248|||||||||||
3255|||||||||||
3262|1|Image|||||||||
3284|||||||||||
3349|||||||||||
3370|||||||||||
3377|||||||||||
