GUID|COUNT|PARENT1|PARENT2|PARENT3|PARENT4|PARENT5|PARENT6|PARENT7|PARENT8|PARENT9|PARENT10 
838|1|15720|||||||||
973|||||||||||
1104|||||||||||
1146|||||||||||
1160|||||||||||
1220|||||||||||
1227|1|1220|||||||||
1234|1|1255|||||||||
1255|||||||||||
1328|||||||||||
1384|||||||||||
1403|||||||||||
1410|1|1403|||||||||
1419|1|1410|||||||||
1464|||||||||||
1471|1||||||||||
1489|||||||||||
1527|||||||||||
1535|||||||||||
1570|||||||||||
1593|1|3402|||||||||
1608|||||||||||
1615|||||||||||
1638|||||||||||
1659|||||||||||
1666|||||||||||
1680|||||||||||
1687|||||||||||
1694|||||||||||
1708|||||||||||
1715|||||||||||
1722|||||||||||
1761|||||||||||
1768|||||||||||
1775|2|1768|1761||||||||
1782|||||||||||
1796|1|1782|||||||||
1803|||||||||||
1810|||||||||||
1817|||||||||||
1824|||||||||||
1831|1|1817|||||||||
1838|||||||||||
1845|||||||||||
1852|||||||||||
1859|||||||||||
1866|||||||||||
1873|||||||||||
1880|||||||||||
1887|||||||||||
1894|||||||||||
1901|||||||||||
1908|||||||||||
1944|||||||||||
1951|||||||||||
1958|||||||||||
1969|||||||||||
1976|||||||||||
1983|||||||||||
1990|||||||||||
1997|||||||||||
2004|||||||||||
2011|||||||||||
2018|||||||||||
2025|||||||||||
2032|||||||||||
2045|||||||||||
2052|||||||||||
2059|||||||||||
2066|||||||||||
2073|||||||||||
2101|||||||||||
2108|||||||||||
2115|||||||||||
2122|||||||||||
2130|1|15713|||||||||
2144|||||||||||
2151|||||||||||
2165|1|15706|||||||||
2172|1|15699|||||||||
2179|1|15692|||||||||
2186|1|15685|||||||||
2200|||||||||||
2208|1|15678|||||||||
2217|||||||||||
2224|1|15671|||||||||
2231|||||||||||
2238|||||||||||
2245|1|1608|||||||||
2252|||||||||||
2259|||||||||||
2266|||||||||||
2273|||||||||||
2280|||||||||||
2287|||||||||||
2294|||||||||||
2302|||||||||||
2309|||||||||||
2316|||||||||||
2323|||||||||||
2330|||||||||||
2337|||||||||||
2344|||||||||||
2351|||||||||||
2358|||||||||||
2365|||||||||||
2372|||||||||||
