GUID|COUNT|VALUE1|VALUE2|VALUE3 
838||||
973||||
1104||||
1146||||
1160|1|n/a||
1220|1|It is compliant with the MedBiquitous Virtual Patient standard ANSI/MEDBIQ VP.10.1-2010||
1227|1|It is compliant with ANSI, the official accrediting body of the MedBiq standard||
1234|1|It is compliant with ANSI, the official accrediting body of the MedBiq standard||
1255|1|It is compliant with ANSI, the official accrediting body of the MedBiq standard||
1328||||
1384||||
1403||||
1410||||
1419||||
1464||||
1471||||
1489||||
1527||||
1535||||
1570||||
1593||||
1608||||
1615||||
1638||||
1659||||
1666||||
1680||||
1687||||
1694||||
1708||||
1715||||
1722||||
1761||||
1768||||
1775||||
1782||||
1796||||
1803||||
1810||||
1817||||
1824||||
1831||||
1838||||
1845||||
1852||||
1859||||
1866||||
1873||||
1880||||
1887||||
1894||||
1901||||
1908||||
1944||||
1951||||
1958||||
1969||||
1976||||
1983||||
1990||||
1997||||
2004||||
2011||||
2018||||
2025||||
2032||||
2045||||
2052||||
2059||||
2066||||
2073||||
2101||||
2108||||
2115||||
2122||||
2130||||
2144||||
2151||||
2165||||
2172||||
2179||||
2186||||
2200||||
2208||||
2217||||
2224||||
2231||||
2238||||
2245||||
2252||||
2259||||
2266||||
2273||||
2280||||
2287||||
2294||||
2302||||
2309||||
2316||||
2323||||
2330||||
2337||||
2344||||
2351||||
2358||||
2365||||
2372||||
2379||||
2386||||
2393||||
2401||||
2415||||
2422||||
2429||||
2436||||
2448||||
2464||||
2471||||
2478||||
2485||||
2492||||
2499||||
2506||||
2513||||
2520||||
2527||||
2534||||
2541||||
2548||||
2555||||
2562||||
2569||||
2576||||
2583||||
2590||||
2597||||
2604||||
2611||||
2618||||
2625||||
2632||||
2639||||
2647||||
2656||||
2665||||
2672||||
2681||||
2688||||
2717||||
2724||||
2731||||
2738||||
2745||||
2752||||
2759||||
2766||||
2773||||
2780||||
2787||||
2794||||
2801||||
2815||||
2822||||
2829||||
2836||||
2979||||
3032||||
3146||||
3153||||
3160||||
3167||||
3176||||
3183||||
3190||||
3204||||
3215||||
3227||||
3234||||
3241||||
3248||||
3255||||
3262||||
3284||||
3349||||
3370||||
3377||||
3384||||
3391||||
3402||||
3410||||
3424||||
3431||||
3438||||
3445||||
3452||||
3473||||
3480||||
3487||||
3494||||
3501||||
3508||||
3515||||
3522||||
3533||||
3540||||
3547||||
3554||||
3565||||
3572||||
3579||||
3586||||
3608||||
3615||||
3622||||
3629||||
3647||||
3654||||
3661||||
3668||||
3695||||
3702||||
3709||||
3716||||
3723||||
3730||||
3737||||
3748||||
3755||||
3762||||
3769||||
3804||||
3811||||
3818||||
3825||||
3836||||
3843||||
3850||||
3857||||
3868||||
3875||||
3882||||
3889||||
3934||||
3941||||
3948||||
3955||||
3966||||
3973||||
3980||||
3990||||
3997||||
4004||||
4011||||
4022||||
4029||||
4036||||
4043||||
4150||||
4157||||
4164||||
4171||||
4178||||
4185||||
4192||||
4199||||
4206||||
4213||||
4220||||
4227||||
4234||||
4241||||
4248||||
4255||||
4262||||
4269||||
4276||||
4283||||
4290||||
4297||||
4304||||
4311||||
4318||||
4325||||
4332||||
4339||||
4346||||
4353||||
4360||||
4367||||
4374||||
4381||||
4388||||
4395||||
4402||||
4409||||
4416||||
4423||||
4430||||
4437||||
4444||||
4451||||
4458||||
4465||||
4472||||
4479||||
4486||||
4493||||
4500||||
4507||||
4568||||
4575||||
4582||||
4589||||
4596||||
4603||||
4610||||
4633||||
4640||||
4799||||
4813||||
4820||||
4827||||
4865||||
4873||||
5476||||
5483||||
5490||||
5497||||
5504||||
5511||||
5518||||
5539||||
5554||||
5561||||
5568||||
5575||||
5582||||
5589||||
5596||||
5603||||
5610||||
5617||||
5624||||
5631||||
5638||||
5645||||
5652||||
8163|1|No Quality stamp||
11464|1|No specific quality stamp||
12246||||
12253||||
12715||||
12736||||
15209||||
15608||||
15615||||
15622||||
15629||||
15636||||
15643||||
15650||||
15657||||
15664||||
15671||||
15678||||
15685||||
15692||||
15699||||
15706||||
15713||||
15720||||
21804||||
