GUID|SESAME|CREATOR|AFFILIATION|TITLE|RESOURCE LANGUAGE|METADATA LANGUAGE|DATE|CITATION|EDUCATIONAL DESCRIPTION|TECHNICAL DESCRIPTION|EDUCATIONAL CONTEXT|EDUCATIONAL INSTRUCTIONS|EDUCATIONAL OBJECTIVES|ASSESSMENT METHODS|EDUCATIONAL PREREQUISITES
838||Chara Balasubramaniam||Catherine Miller|English|English|2010-01-29|YES|YES|YES|YES|YES|YES||YES|
973||Daniela Giordano|university of catania|The Web-Trace Platform|English|English|2009-01-01|YES|YES|YES||YES||||
1104||Daniela Giordano|university of catania|Introduction to cephalometric analysis|English|English|2006-05-01|YES|YES|||||||
1146||Jarkko Mylläri|university of helsinki|Using Virtual Patients in Dermatology|English||2010-02-08|YES|YES|YES|YES|||||
1160||Jarkko Mylläri|university of helsinki|Actor Simulated Patient Interview|English|English|2010-02-15||YES|YES|YES|YES|YES|YES|YES|
1220||Evangelia Mitsopoulou||Mr Angermeier Branched Virtual Patient|en|en|2010-01-29|YES|YES|YES|YES|YES|YES|YES|YES|
1227||Evangelia Mitsopoulou||Mr Angermeier Linear Virtual Patient|English|English|2010-01-29|YES|YES|YES|YES|YES|YES|YES|YES|
1234||Evangelia Mitsopoulou||Mr Maller Linear Virtual Patient|English|English|2010-01-29|YES|YES|YES|YES|YES|YES|YES|YES|
1255||Evangelia Mitsopoulou||Mr Maller Branched Virtual Patient|English|English|2010-01-29||YES|YES|YES|YES|YES|YES|YES|
1328||Jarkko Mylläri|university of helsinki|ECG Patient case 1004 limb and chest leads||en|2010-04-19||YES|YES|YES||YES|||
1384||Teodor Stefanut|UTCN|The Larynx - introductory lesson|English|English|2010-04-05||YES|YES||YES|YES|||
1403||David Panzoli||Climate Health Impact|English|English|2009-01-01|YES|YES|YES|YES|YES|YES|YES|YES|
1410||David Panzoli||Disease quiz climate health impact|English|English|2010-03-10|YES|YES|YES|YES|YES|YES|YES|YES|
1419||David Panzoli||Disease quiz climate health impact French|French|English|2010-04-09|YES|YES|YES|YES|YES|YES|YES|YES|
1464||Álvaro Salvá||Fetal medicine case|Spanish||2010-04-23||YES|YES|YES|||||
1471||Álvaro Salvá||Dicom multiframe|Spanish||2010-04-23||YES|YES|YES|||||
1489||Dora Edreva|medical university plovdiv|Palliative care in childhood|Bulgarian||2010-04-23|||||||||
1527||Eleni Dafli||electronic OSCE station for Intravenous cannulation|English|English|2009-04-14|YES|YES|YES|YES|YES|YES|YES|YES|
1535||Eleni Dafli||electronic OSCE station for Recytal Examination|English|English|2009-12-08|YES|YES|YES|YES|YES|YES||YES|
1570||Eleni Dafli||electronic OSCE station for Blood Pressure Measurement|English|English|2009-11-18|YES|YES|YES|YES|YES|YES||YES|
1593||Eleni Dafli||OSCE θωρακικο αλγος|Greek|Greek|2008-10-23|YES|YES|YES|YES|YES|YES|YES|YES|
1608||Panos Bamidis||Enabling Content Sharing In Contemporary Medical Education: A review of technical standards|English|||||||||||
1615||Pascal Staccini|university of nice-sophia antipolis|Chest XRay of the Elderly : decision support for diagnosing acute or chronic dyspnea|French||2009-10-20||YES||YES|||||
1638||Pascal Staccini|university of nice-sophia antipolis|Tumor cell|French||2000-12-31||YES|||||||
1659||Pascal Staccini|university of nice-sophia antipolis|Breast cancers|French|English|2006-03-31||||YES||YES|||
1666||Pascal Staccini|university of nice-sophia antipolis|Breast tumors|French||2000-10-14|||||||||
1680||Pascal Staccini|university of nice-sophia antipolis|Myocardial infarction: managing the patient in ER|French||2007-06-29|||||||||
1687||Pascal Staccini|university of nice-sophia antipolis|Myocardial infarction: simulation scenario|French|English|2008-04-29|||YES||YES||||
1694||Pascal Staccini|university of nice-sophia antipolis|Evidence Based Analysis - Article title: "Interest of a sterilised anti-burning gel in radiation dermatitis: results of a comparative study"|French|English|2009-04-23|||YES|YES|YES|||YES|
1708||Pascal Staccini|university of nice-sophia antipolis|Applying statistical process control (SPC) in healthcare|French|English|2009-12-04|||YES||||||
1715||Pascal Staccini|university of nice-sophia antipolis|Fictive clinical cases used for knowledge assessment|French|English|||YES|YES|YES|YES||||
1722||Pascal Staccini|university of nice-sophia antipolis|Lecture notes in medical informatics: Clinical and Hospital Information Systems|French|English||||YES||YES||||
1761||Teodor Stefanut|UTCN|Liver anatomy - anterior view of the liver|English|English|2010-01-12||YES|YES|YES|YES|YES|||
1768||Teodor Stefanut|UTCN|Liver anatomy - visceral surface view|English||2010-01-12||YES|||||||
1775||Teodor Stefanut|UTCN|The liver - an introductory lesson|English||2010-03-02||YES|YES||||||
1782||Teodor Stefanut|UTCN|Basic 3D model of the human stomach|English||2010-02-17||YES|YES||||||
1796||Teodor Stefanut|UTCN|The human stomach - general presentation|English||2010-04-07||YES|YES||||||
1803||Dora Edreva|medical university plovdiv|Ventilation/oxygenation therapy in  childhoodpostgraduate|Bulgarian||2010-04-27|||||||||
1810||Dora Edreva|medical university plovdiv|Pediatrics tests|English||2010-04-27|||||||||
1817||Teodor Stefanut|UTCN|3D stomach model with description of the main sections|en||2010-04-12||YES|YES||||||
1824||Jarkko Mylläri|university of helsinki|ECG case 1004 limb leads||English|2010-04-19||YES|YES|YES||YES|||
1831||Teodor Stefanut|UTCN|Gastric cancer - overview|English||2010-04-14||YES|YES||||||
1838||Jarkko Mylläri|university of helsinki|ECG case 1004 chest leads||English|2010-04-19||YES|YES|YES||YES|||
1845||Jarkko Mylläri|university of helsinki|ECG Patient case 1004 description|English|English|2010-04-19||YES|YES|YES|YES|YES|||
1852||Jarkko Mylläri|university of helsinki|ECG Patient case 1001 description|English|English|2010-04-19||YES|YES|YES|YES|YES|||
1859||Jarkko Mylläri|university of helsinki|ECG case 1001 chest leads||English|2010-04-19||YES|YES|YES||YES|||
1866||Jarkko Mylläri|university of helsinki|ECG case 1001 limb leads||English|2010-04-19||YES|YES|YES||YES|||
1873||Jarkko Mylläri|university of helsinki|ECG Patient case 1001 chest and limb leads||en|2010-04-19||YES|YES|YES||YES|||
1880||Jarkko Mylläri|university of helsinki|ECG case 1002 limb and chest leads||en|2010-04-19||YES|YES|YES||YES|||
1887||Jarkko Mylläri|university of helsinki|ECG case 1002 chest leads||English|2010-04-19||YES|YES|YES||YES|||
1894||Jarkko Mylläri|university of helsinki|ECG case 1002 limb leads||English|2010-04-19||YES|YES|YES||YES|||
1901||Jarkko Mylläri|university of helsinki|ECG Patient case 1002 description|English|English|2010-04-19||YES|YES|YES|YES|YES|||
1908||Jarkko Mylläri|university of helsinki|Using Manikin Simulator in Cardiology|English|English|2010-02-15|YES|YES|YES|YES|YES||||
1944||David Panzoli||NanoMission|English||2007-01-01|YES|YES||||YES|||
1951||Pavlos Agianian||Biomolecular Structure Function analysis practicals|English|English|2010-05-01||YES|YES|YES|YES|YES|YES|YES|
1958||Margy Koffa||videos on normal and abnormal cell divions|||2008-05-01||YES||YES|||||
1969||Álvaro Salvá||Mayo Clinic Consultation: Subject D-B|English|English|||YES|||||||
